"Start Timestamp","End Timestamp","Application","Window Title","URL","Time Spent (s)"
"2025-04-05 17:04:00","2025-04-05 17:04:09","python.exe","Smart Screen Monitor","N/A","9.32"
"2025-04-05 17:04:09","2025-04-05 17:04:10","python.exe","Started","N/A","1.0"
"2025-04-05 17:04:10","2025-04-05 17:04:12","python.exe","Smart Screen Monitor","N/A","2.0"
"2025-04-05 17:04:12","2025-04-05 17:04:15","python.exe","Activity Log Viewer","N/A","3.0"
"2025-04-05 17:04:15","2025-04-05 17:04:16","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 17:04:16","2025-04-05 17:04:40","Google Chrome","DP research paper.docx - Google Docs - Google Chrome","N/A","24.02"
"2025-04-05 17:04:40","2025-04-05 17:04:41","Google Chrome","Desktop Assistant Development - Google Chrome","N/A","1.0"
"2025-04-05 17:04:41","2025-04-05 17:05:17","Google Chrome","DP research paper.docx - Google Docs - Google Chrome","N/A","36.03"
"2025-04-05 17:05:17","2025-04-05 17:05:18","Google Chrome","New Tab - Google Chrome","N/A","1.0"
"2025-04-05 17:05:18","2025-04-05 17:05:22","Google Chrome","YouTube - Google Chrome","N/A","4.0"
"2025-04-05 17:05:22","2025-04-05 17:05:30","Google Chrome","(17) YouTube - Google Chrome","N/A","8.01"
"2025-04-05 17:05:30","2025-04-05 17:05:36","Google Chrome","(17) What is Machine Learning? | 100 Days of Machine Learning - YouTube - Google Chrome","N/A","6.0"
"2025-04-05 17:05:36","2025-04-05 17:05:55","Google Chrome","(17) AI Vs ML Vs DL for Beginners in Hindi - YouTube - Google Chrome","N/A","19.02"
"2025-04-05 17:05:55","2025-04-05 17:06:44","Google Chrome","(17) Types of Machine Learning for Beginners | Types of Machine learning in Hindi | Types of ML in Depth - YouTube - Google Chrome","N/A","49.06"
"2025-04-05 17:06:44","2025-04-05 17:09:03","Google Chrome","(17) Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types - YouTube - Google Chrome","N/A","139.12"
"2025-04-05 17:09:03","2025-04-05 17:09:04","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","1.0"
"2025-04-05 17:09:04","2025-04-05 17:11:50","python.exe","Smart Screen Monitor","N/A","165.96"
"2025-04-05 17:11:50","2025-04-05 17:11:51","python.exe","Started","N/A","1.0"
"2025-04-05 17:11:51","2025-04-05 17:11:52","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 17:11:52","2025-04-05 17:11:58","Google Chrome","(17) Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types - YouTube - Google Chrome","N/A","6.0"
"2025-04-05 17:37:31","2025-04-05 17:37:32","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 17:37:32","2025-04-05 17:37:33","python.exe","Started","N/A","1.0"
"2025-04-05 17:37:33","2025-04-05 17:37:37","python.exe","Smart Screen Monitor","N/A","4.01"
"2025-04-05 17:37:37","2025-04-05 17:37:41","python.exe","Activity Log Viewer","N/A","4.01"
"2025-04-05 17:37:41","2025-04-05 17:37:43","python.exe","Smart Screen Monitor","N/A","2.0"
"2025-04-05 17:37:43","2025-04-05 17:37:44","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","1.0"
"2025-04-05 17:37:44","2025-04-05 17:37:46","Google Chrome","Desktop Assistant Development - Google Chrome","N/A","2.0"
"2025-04-05 17:37:46","2025-04-05 17:37:48","Google Chrome","(18) Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types - YouTube - Google Chrome","N/A","2.0"
"2025-04-05 17:37:48","2025-04-05 17:37:50","python.exe","Smart Screen Monitor","N/A","2.0"
"2025-04-05 17:37:50","2025-04-05 17:37:54","python.exe","Activity Log Viewer","N/A","4.01"
"2025-04-05 17:37:55","2025-04-05 17:37:57","python.exe","Smart Screen Monitor","N/A","2.0"
"2025-04-05 17:37:57","2025-04-05 17:38:03","Google Chrome","(18) Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types - YouTube - Google Chrome","N/A","6.0"
"2025-04-05 17:43:15","2025-04-05 17:43:17","python.exe","Smart Screen Monitor","N/A","2.0"
"2025-04-05 17:43:17","2025-04-05 17:43:19","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","2.0"
"2025-04-05 17:43:19","2025-04-05 17:43:21","Google Chrome","Desktop Assistant Development - Google Chrome","N/A","2.0"
"2025-04-05 17:43:21","2025-04-05 17:43:32","Google Chrome","(18) Challenges in Machine Learning | Problems in Machine Learning - YouTube - Google Chrome","N/A","11.01"
"2025-04-05 17:43:32","2025-04-05 17:45:11","Google Chrome","(18) Polynomial Regression | Machine Learning - YouTube - Google Chrome","N/A","99.08"
"2025-04-05 17:47:45","2025-04-05 17:47:46","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 17:47:46","2025-04-05 17:47:47","python.exe","Started","N/A","1.0"
"2025-04-05 17:47:47","2025-04-05 17:47:48","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 17:47:48","2025-04-05 17:47:49","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","1.0"
"2025-04-05 17:47:49","2025-04-05 17:47:50","Google Chrome","DP research paper.docx - Google Docs - Google Chrome","N/A","1.0"
"2025-04-05 17:47:50","2025-04-05 17:49:33","Google Chrome","(18) Polynomial Regression | Machine Learning - YouTube - Google Chrome","N/A","102.09"
"2025-04-05 17:49:33","2025-04-05 17:49:35","Google Chrome","DP research paper.docx - Google Docs - Google Chrome","N/A","2.0"
"2025-04-05 18:08:30","2025-04-05 18:08:31","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 18:08:31","2025-04-05 18:08:32","python.exe","Started","N/A","1.0"
"2025-04-05 18:08:32","2025-04-05 18:08:34","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","2.0"
"2025-04-05 18:08:34","2025-04-05 18:08:35","Google Chrome","Desktop Assistant Development - Google Chrome","N/A","1.0"
"2025-04-05 18:08:35","2025-04-05 18:08:39","Google Chrome","New Tab - Google Chrome","N/A","4.0"
"2025-04-05 18:08:39","2025-04-05 18:08:43","Google Chrome","YouTube - Google Chrome","N/A","4.0"
"2025-04-05 18:08:43","2025-04-05 18:08:51","Google Chrome","(18) YouTube - Google Chrome","N/A","8.01"
"2025-04-05 18:08:51","2025-04-05 18:09:22","Google Chrome","(18) Array Data Structure - Part1 | DSA Series by Shradha Khapra Ma'am | C++ - YouTube - Google Chrome","N/A","31.03"
"2025-04-05 18:09:22","2025-04-05 18:09:23","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","1.0"
"2025-04-05 18:09:23","2025-04-05 18:09:28","python.exe","Smart Screen Monitor","N/A","5.01"
"2025-04-05 18:09:28","2025-04-05 18:09:47","python.exe","Activity Log Viewer","N/A","19.03"
"2025-04-05 18:13:47","2025-04-05 18:13:49","python.exe","Smart Screen Monitor","N/A","2.0"
"2025-04-05 18:13:49","2025-04-05 18:13:50","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","1.0"
"2025-04-05 18:13:50","2025-04-05 18:14:12","Google Chrome","(18) Array Data Structure - Part1 | DSA Series by Shradha Khapra Ma'am | C++ - YouTube - Google Chrome","N/A","22.02"
"2025-04-05 18:14:12","2025-04-05 18:14:15","Google Chrome","Desktop Assistant Development - Google Chrome","N/A","3.0"
"2025-04-05 18:14:15","2025-04-05 18:14:16","VS Code","main.py - New folder (3) - Visual Studio Code","N/A","1.0"
"2025-04-05 18:27:46","2025-04-05 18:27:47","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 18:27:47","2025-04-05 18:27:48","python.exe","Started","N/A","1.0"
"2025-04-05 18:27:48","2025-04-05 18:27:49","python.exe","Smart Screen Monitor","N/A","1.0"
"2025-04-05 18:27:49","2025-04-05 18:27:50","VS Code","main.py - most_updated - Visual Studio Code","N/A","1.0"
"2025-04-05 18:27:50","2025-04-05 18:27:52","Google Chrome","Desktop Assistant Development - Google Chrome","N/A","2.0"
"2025-04-05 18:27:52","2025-04-05 18:27:54","Google Chrome","New Tab - Google Chrome","N/A","2.0"
"2025-04-05 18:27:54","2025-04-05 18:27:57","Google Chrome","YouTube - Google Chrome","N/A","3.0"
"2025-04-05 18:27:57","2025-04-05 18:28:16","Google Chrome","(18) YouTube - Google Chrome","N/A","19.01"
"2025-04-05 18:28:16","2025-04-05 18:28:22","Google Chrome","(18) Polynomial Regression | Machine Learning - YouTube - Google Chrome","N/A","5.0"
"2025-04-05 18:28:22","2025-04-05 18:28:30","Google Chrome","(18) Challenges in Machine Learning | Problems in Machine Learning - YouTube - Google Chrome","N/A","8.01"
