Start Timestamp,End Timestamp,Application,Window Title,URL,Time Spent (s),Input Text,Predicted Goal
2025-04-05 17:04:00,2025-04-05 17:04:09,python.exe,Smart Screen Monitor,,9.32,python.exe - Smart Screen Monitor,No Match
2025-04-05 17:04:09,2025-04-05 17:04:10,python.exe,Started,,1.0,python.exe - Started,No Match
2025-04-05 17:04:10,2025-04-05 17:04:12,python.exe,Smart Screen Monitor,,2.0,python.exe - Smart Screen Monitor,No Match
2025-04-05 17:04:12,2025-04-05 17:04:15,python.exe,Activity Log Viewer,,3.0,python.exe - Activity Log Viewer,No Match
2025-04-05 17:04:15,2025-04-05 17:04:16,python.exe,Smart Screen Monitor,,1.0,python.exe - Smart Screen Monitor,No Match
2025-04-05 17:04:16,2025-04-05 17:04:40,Google Chrome,DP research paper.docx - Google Docs - Google Chrome,,24.02,Google Chrome - DP research paper.docx - Google Docs - Google Chrome,DP Research Paper
2025-04-05 17:04:40,2025-04-05 17:04:41,Google Chrome,Desktop Assistant Development - Google Chrome,,1.0,Google Chrome - Desktop Assistant Development - Google Chrome,No Match
2025-04-05 17:04:41,2025-04-05 17:05:17,Google Chrome,DP research paper.docx - Google Docs - Google Chrome,,36.03,Google Chrome - DP research paper.docx - Google Docs - Google Chrome,DP Research Paper
2025-04-05 17:05:17,2025-04-05 17:05:18,Google Chrome,New Tab - Google Chrome,,1.0,Google Chrome - New Tab - Google Chrome,No Match
2025-04-05 17:05:18,2025-04-05 17:05:22,Google Chrome,YouTube - Google Chrome,,4.0,Google Chrome - YouTube - Google Chrome,No Match
2025-04-05 17:05:22,2025-04-05 17:05:30,Google Chrome,(17) YouTube - Google Chrome,,8.01,Google Chrome - (17) YouTube - Google Chrome,Learn ML
2025-04-05 17:05:30,2025-04-05 17:05:36,Google Chrome,(17) What is Machine Learning? | 100 Days of Machine Learning - YouTube - Google Chrome,,6.0,Google Chrome - (17) What is Machine Learning? | 100 Days of Machine Learning - YouTube - Google Chrome,Learn ML
2025-04-05 17:05:36,2025-04-05 17:05:55,Google Chrome,(17) AI Vs ML Vs DL for Beginners in Hindi - YouTube - Google Chrome,,19.02,Google Chrome - (17) AI Vs ML Vs DL for Beginners in Hindi - YouTube - Google Chrome,Learn ML
2025-04-05 17:05:55,2025-04-05 17:06:44,Google Chrome,(17) Types of Machine Learning for Beginners | Types of Machine learning in Hindi | Types of ML in Depth - YouTube - Google Chrome,,49.06,Google Chrome - (17) Types of Machine Learning for Beginners | Types of Machine learning in Hindi | Types of ML in Depth - YouTube - Google Chrome,Learn ML
